Image,Ratings,Price,Description
"[[[254 254 255]
  [255 255 252]
  [254 255 253]
  ...
  [254 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 254 255]
  [255 254 255]
  ...
  [255 254 255]
  [255 255 255]
  [255 255 255]]

 [[255 253 253]
  [254 254 255]
  [253 255 254]
  ...
  [255 252 252]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.8,"$15
44","ENTERTAINING ACTIVITY PLAY BOARD: The Melissa & Doug Wooden Latches Board is an entertaining and educational activity play board that helps kids build dexterity as they navigate latches that hook, snap, click, and slide.
STURDY WOOD CONSTRUCTION: Our activity boards for toddlers are made from smooth-sanded, solid-wood material that features fun surprises behind the opening doors and windows.
HELPS DEVELOP MULTIPLE SKILLS: Melissa & Doug hands-on toys for preschoolers are designed to help younger children build fine and gross motor skills, while also discovering vibrant colors, numbers, animals, and more.
GIFT FOR AGES 3 AND UP: This Wooden Latches Board makes a great gift for children ages 3 and up. Add the Melissa & Doug See & Spell Learning Toy to round out the hands-on, screen-free play and learning.
“THE GOLD STANDARD IN CHILDHOOD PLAY”: For more than 30 years, Melissa & Doug has created beautifully designed imagination- and creativity-sparking products that NBC News called “the gold standard in early childhood play.”"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.8,"$13
99","Classic, baby-favorite musical pull toy
Baby uses the tethered mallet to tap on the 8 colorful keys
Pull string and easy-rolling wheels let toddlers pull it along anywhere
Helps develop hand-eye coordination and gross motor skills
For infants and toddlers ages 18 months and older"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.8,"$7
39","Includes (1) Polar Bear bobber and (1) Penguin bobber
Bath bobbers help to develop motor skills
Lightweight and easy for little hands to operate
Encourages imaginative play
6 and above months"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.8,"$9
76","CLEVER DESIGN -- These math cubes snap together with a soft click, making them an ideal fine motor, construction and creative activity for ages 3 plus
INSPIRE LEARNING WITH SHAPES -- Five sides of each cube contain a different geometric shape to create more challenging activities: circle, square, triangle, pentagon and hexagon
INCLUDES 10 COLORS -- Watch as your youngster learns the art of pattern making or how to apply colors to learn math concepts, such as addition and subtraction, with this set of 100 construction cubes
EARLY STEAM ACTIVITY -- Give your child a fun introduction to counting, sorting, construction, creativity and arithmetic. Show them how to use sequencing and patterns to build early math skills
HIGH QUALITY CONSTRUCTION -- Made with smooth-to-touch plastic and rounded edges, these linking cubes feel warm to hold and connect with a gentle click, which is satisfying for kids to hear
TEACH EARLY MATH -- Use the Activity Guide included to teach math concepts such as: number problems, algebra, geometry, measurement, problem solving and reasoning
LEARNING THROUGH PLAY -- Our products inspire children to play with purpose. Play is the best teacher. Our high-quality, educational resources fulfill learning needs from 18 months to 12 years"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.8,"$124
16","4-piece indoor corner climber for young toddlers and children; ideal for at home, a daycare center, or a preschool
Interlocking hook-and-loop strips secure the pieces together; hook-and-loop bottom helps keep it in place on carpet
Made of safe CertiPUR-US certified PU foam with PU leather fabric
Helps kids learn gross motor skills and coordination; thrilling fun; wipes clean easily
Measures 40 by 40 by 10 inches (LxWxH); backed by an Amazon Basics 1-year limited warranty"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.6,"$7
99","Itzy Ritzy’s water-filled teethers come in a 3-pack of coordinating fruit shapes that each feature an open design, making them easy for baby to hold
Each teether has texture on both sides to help soothe sore, swollen gums and massage emerging teeth
For added relief, these teethers can be placed in the refrigerator until chilled so baby has something cold and soothing to chew on
Before use, clean with a damp cloth and mild soap and air dry. Do not boil, microwave or place in freezer."
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.9,"$12
99","The Bitzy Busy Ring includes a braided teething ring and dangling toys that feature textured ribbons, crinkle sounds and a gentle jingle sound to entertain baby
The Busy Ring also includes a textured teether and a dangling star to help encourage reaching and grasping
The toy can easily attach to a car seat or stroller to keep baby entertained when on the move
Made of natural cotton fabric and soft velour to be gentle on baby’s skin
Designed for ages 0 months and up"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",5,"$8
99","Itzy Ritzy silicone teething mitts provide relief to emerging teeth and massage sore gums; they are made of food grade silicone and are non-toxic and free of BPA and PVC
Our teething mitts feature textured silicone that is soothing on sore, swollen gums – they also include a crinkle sound that stimulates baby and keeps him or her entertained
An adjustable strap ensures a secure fit and helps the mitt stay in place – perfect for babies who can’t yet hold a teether
Teething mitts also keep baby safe from scratches on the face
Teething mitts are machine washable; machine wash on cold or hand wash and air dry"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.8,"$6
99","Perfectly Baby Finger Sized - Babies love to chew on their little fingers (and probably yours too). So we thought, why not copy? Comotomo teethers are designed to mimic baby fingers.
Intuitive Design - Thoughtfully made to make it easy for your little one to grab and hold.
Sensible Material - Safety first! Made with durable, high quality, food grade silicone.
Easy to Clean - Simple one piece design and heat resistant silicone makes cleaning hassle-free."
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.7,"$24
99","Unleash your baby's creativity with their first piano toy; wooden piano magically makes music with just a touch; includes 3 sheets of music and 6 different songs
Practice color coordination by matching the color-coded notes on the sheets to the keys on the piano; with 2 modes of play, babies can create their own original songs or discover familiar ones
Volume control allows you to set the music to “low” or “high” depending on your environment and preference; higher end quality speakers ensure clear sound at either volume
Ideal for ages 6-36 months; great gift idea for first birthday, toddler Christmas gift, or ""just because"" gifting; the fun lasts through toddler years
Made from child safe and durable materials; assembled dimensions 8.9"" x 11.7"" x 7.0""; wipe clean with damp cloth and mild soap; do not immerse in water; powered by 3 AA batteries (not included)"
