Image,Ratings,Price,Description
images/81-Y4qH5-aS._AC_UX695_.jpg,4.6,,"100% Leather
Imported
Rubber sole
Shaft measures approximately 5"" from arch
Heel measures approximately 1.5""
Platform measures approximately 1""
Boot opening measures approximately 8 around"
images/61jiwQ7b+vL._AC_UX575_.jpg,4.5,,"100% Leather
Rubber sole
Relax fit
Memory foam
Soft fabric shoe lining"
images/71R+yY8Yu3L._AC_UX575_.jpg,4.6,,"100% Synthetic
Made in USA or Imported
Synthetic sole
FASTEN8-Advanced Nylon straps integrated with the lacing system wrap the foot to provide a secure, personalized fit.
IGNITE FOAM-Revolutionary and proprietary midsole foam provides energy return, responsive comfort, stable cushioning, and superior step-in comfort.
PWRCAGE-Super strong and lightweight TPU saddle provides excellent support and stability throughout your swing.
PERFORMANCE MESH +TPU-Non-stretch waterproof and breathable mesh, premium TPU PWRCAGE and PWRFRAME combine for the ultimate spikeless performance shoe.
ORGANICALLY ALTERED TRACTION-Traction inspired by nature, strategically designed lugs in proper zones for increased traction throughout your swing for more grip and power."
images/6183TKHOxKL._AC_UX695_.jpg,4.5,,"100% Synthetic
Imported
Rubber sole
MEN'S FANNING SLIDE: Reef's easy on, easy off slide with a bottle opener in the sole of the sandal. They are handcrafted with a comfortable footbed and anatomical arch support.
BOTTLE OPENER: Use the church key bottle opener integrated into the rubber outsole giving you thirst quenching technology (TQT) on the go. REEF is the only men's sandal with a bottle opener.
ARCH SUPPORT: Anatomical arch support slides for men give you a refreshing feel of satisfaction every time you slip your feet into your Fannings.
FOOTBED and AIRBAG: Shock absorbing men's sandals with contoured compression molded EVA foam footbed and 360 degree heel airbag enclosed in soft polyurethane.
BEACH FREELY: REEF encourages people around the world to embrace the spirit of the beach while living by one simple rule: Beach Freely. Our products are designed to make you feel comfortable in any environment, whether you're at the beach or not."
images/61Swiv9bHlL._AC_UY695_.jpg,4.7,,"Made in the USA or Imported
Rounded Toe Design and Flex & Fold: This supports healthy feet with its unique shape giving complete freedom of movement. The Hey Dude Wally Men's Lace Up Loafers Comfortable & Light-Weight will be an instant favorite in your modern-casual shoe collection and are the ideal men & women's shoes.
Lightweight with Elastic Laces: Manufactured using an elastic material that allows them to flex with the foot, resulting in a shoe that fits more uniformly. Each shoe weighs 6 ounces or less making it one of the lightest pairs of shoes around. The ideal Hey Dude Shoes for Men & Women that you will surely love.
Comfortable Durable High-Quality Material: Designed with you in mind. This Wally shoe boasts the comfort of walking on clouds. Featuring an insole that reduces odors, lightweight outsole, and breathable cotton fabric that makes the Wally one of the most comfortable shoes on the market.
Great For Travel & On The Go: The removable memory foam cushioned insole provides maximum comfort and reduces sweating and odors. Machine Washable Friendly (Cold). Sizing Tip: If you usually wear half sizes, we suggest choosing the next size up for the best overall fit."
images/8140HEs6f9L._AC_UX695_.jpg,4.4,,"100% Leather
Imported
Rubber sole
Shaft measures approximately 5.5"" from arch
Heel measures approximately 1.25""
Boot opening measures approximately 10"" around
Leather work boot featuring comfortable cushioned collar and lace-up closure with speed-lace hardware at top"
images/81nadvAWG+L._AC_UX695_.jpg,4.6,,
images/71cRRjOmiSL._AC_UX695_.jpg,4.5,,Rubber sole
images/71YcxNq+JfL._AC_UX575_.jpg,4.3,,"100% Synthetic
Imported
Synthetic sole
Heel measures approximately 1""
PROFESSIONALLY CRAFTED: Soft neoprene tongue & collar for comfortable fit to wear to the office or party
MATERIALS: Faux leather upper
FIT: Lace-up casual oxford for men offering a secure fit"
images/71Bcctq27FL._AC_UX695_.jpg,4.5,,"100% Leather
Imported
Synthetic sole
Shaft measures approximately Ankle from arch
Waterproof membrane seals out water and lets moisture escape
Pigskin leather and mesh upper
Traditional lace closure"
